247195.019,641040.994,0.5
247195.019,641030.994,0.37
247195.019,641020.994,0.36
247195.019,641010.994,0.14
247195.019,641000.994,0.23
247195.019,640990.994,0.1
247195.019,640980.994,0.11
247195.019,640970.994,0.09
247205.019,641660.994,0.58
247205.019,641650.994,0.57
247205.019,641640.994,0.67
247205.019,641630.994,1.16
247205.019,641620.994,1.04
247205.019,641610.994,1.37
247205.019,641600.994,1.47
247205.019,641590.994,1.41
247205.019,641580.994,1.28
247205.019,641570.994,1.19
247205.019,641560.994,1.17
247205.019,641550.994,0.76
247205.019,641540.994,0.36
247205.019,641530.994,0.47
247205.019,641520.994,0.47
247205.019,641510.994,0.58
247205.019,641500.994,0.52
247205.019,641490.994,0.49
247205.019,641480.994,0.53
247205.019,641470.994,0.43
247205.019,641460.994,0.43
247205.019,641450.994,0.39
247205.019,641440.994,0.49
247205.019,641430.994,0.42
247205.019,641420.994,0.4
247205.019,641410.994,0.43
247205.019,641400.994,0.5
247205.019,641390.994,0.52
247205.019,641380.994,0.55
247205.019,641370.994,0.59
247205.019,641360.994,0.77
247205.019,641350.994,0.86
247205.019,641340.994,0.92
247205.019,641330.994,0.7
247205.019,641320.994,1.01
247205.019,641310.994,1.05
247205.019,641300.994,0.78
247205.019,641290.994,0.94
247205.019,641280.994,0.97
247205.019,641270.994,0.71
247205.019,641260.994,0.66
247205.019,641250.994,0.71
247205.019,641240.994,0.75
247205.019,641230.994,0.84
247205.019,641220.994,1.03
247205.019,641210.994,0.87
247205.019,641200.994,0.68
247205.019,641190.994,0.61
247205.019,641180.994,0.84
247205.019,641170.994,0.52
247205.019,641160.994,0.44
247205.019,641150.994,0.46
247205.019,641140.994,0.44
247205.019,641110.994,0.47
247205.019,641100.994,0.3
247205.019,641090.994,0.32
247205.019,641080.994,0.51
247205.019,641070.994,0.55
247205.019,641060.994,0.56
247205.019,641050.994,0.6
247205.019,641040.994,0.45
247205.019,641030.994,0.38
247205.019,641020.994,0.35
247205.019,641010.994,0.14
247205.019,641000.994,0.15
247205.019,640990.994,0.09
247205.019,640980.994,0.1
247205.019,640970.994,0.1
247215.019,641680.994,0.54
247215.019,641670.994,0.51
247215.019,641660.994,0.61
247215.019,641650.994,0.84
247215.019,641640.994,0.69
247215.019,641630.994,0.58
247215.019,641620.994,1.08
247215.019,641610.994,1.14
247215.019,641600.994,1.27
247215.019,641590.994,1.29
247215.019,641580.994,1.31
247215.019,641570.994,0.52
247215.019,641560.994,0.59
247215.019,641550.994,0.46
247215.019,641540.994,0.5
247215.019,641530.994,0.51
247215.019,641520.994,0.42
247215.019,641510.994,0.47
247215.019,641500.994,0.46
247215.019,641490.994,0.52
247215.019,641480.994,0.42
247215.019,641470.994,0.44
247215.019,641460.994,0.54
247215.019,641450.994,0.57
247215.019,641440.994,0.42
247215.019,641430.994,0.48
247215.019,641420.994,0.39
247215.019,641410.994,0.55
247215.019,641400.994,0.52
247215.019,641390.994,0.67
247215.019,641380.994,0.67
247215.019,641370.994,0.67
247215.019,641360.994,0.67
247215.019,641350.994,0.79
247215.019,641340.994,0.85
247215.019,641330.994,0.91
247215.019,641320.994,0.84
247215.019,641310.994,0.78
247215.019,641300.994,0.88
247215.019,641290.994,0.77
247215.019,641280.994,0.96
247215.019,641270.994,0.86
